amount,contribution-purpose,developer-agreement,developer-agreement-contribution,end-date,entry-date,organisation,start-date,units,slug
1084.55,cil-administration-costs,17/01853/FUL/CIL,17/01853/CILADMIN 2,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-CILADMIN-2
1084.55,cil-administration-costs,17/01853/FUL/CIL,17/01853/CILADMIN 3,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-CILADMIN-3
17352.9,community-infrastructure-levy,17/01853/FUL/CIL,17/01853/IDP 1,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-IDP-1
17352.9,community-infrastructure-levy,17/01853/FUL/CIL,17/01853/IDP 2,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-IDP-2
17352.9,community-infrastructure-levy,17/01853/FUL/CIL,17/01853/IDP 3,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-IDP-3
3253.67,neighbourhood-community-infrastructure-levy,17/01853/FUL/CIL,17/01853/NEIGHBOURHOOD 1,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD-1
3253.67,neighbourhood-community-infrastructure-levy,17/01853/FUL/CIL,17/01853/NEIGHBOURHOOD 2,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD-2
3253.67,neighbourhood-community-infrastructure-levy,17/01853/FUL/CIL,17/01853/NEIGHBOURHOOD 3,,2019-09-18,local-authority-eng:EPS,2019-09-03,,/developer-agreement-contribution/local-authority-eng/EPS/17-01853-NEIGHBOURHOOD-3
67.88,cil-administration-costs,18/00481/REM/CIL,18/00481/CILADMIN 1,,2020-05-14,local-authority-eng:EPS,2019-09-10,,/developer-agreement-contribution/local-authority-eng/EPS/18-00481-CILADMIN-1
1086.07,community-infrastructure-levy,18/00481/REM/CIL,18/00481/IDP 1,,2020-05-14,local-authority-eng:EPS,2019-09-10,,/developer-agreement-contribution/local-authority-eng/EPS/18-00481-IDP-1
203.64,neighbourhood-community-infrastructure-levy,18/00481/REM/CIL,18/00481/NEIGHBOURHOOD 1,,2020-05-14,local-authority-eng:EPS,2019-09-10,,/developer-agreement-contribution/local-authority-eng/EPS/18-00481-NEIGHBOURHOOD-1
834.57,cil-administration-costs,18/00486/FUL/CIL,18/00486/CILADMIN 1,,2019-11-25,local-authority-eng:EPS,2019-11-25,,/developer-agreement-contribution/local-authority-eng/EPS/18-00486-CILADMIN-1
834.57,cil-administration-costs,18/00486/FUL/CIL,18/00486/CILADMIN 2,,2019-11-25,local-authority-eng:EPS,2019-11-25,,/developer-agreement-contribution/local-authority-eng/EPS/18-00486-CILADMIN-2
834.57,cil-administration-costs,18/00486/FUL/CIL,18/00486/CILADMIN 3,,2019-11-25,local-authority-eng:EPS,2019-11-25,,/developer-agreement-contribution/local-authority-eng/EPS/18-00486-CILADMIN-3
13353.15,community-infrastructure-levy,18/00486/FUL/CIL,18/00486/IDP 1,,2019-11-25,local-authority-eng:EPS,2019-11-25,,/developer-agreement-contribution/local-authority-eng/EPS/18-00486-IDP-1
13353.14,community-infrastructure-levy,18/00486/FUL/CIL,18/00486/IDP 2,,2019-11-25,local-authority-eng:EPS,2019-11-25,,/developer-agreement-contribution/local-authority-eng/EPS/18-00486-IDP-2
13353.14,community-infrastructure-levy,18/00486/FUL/CIL,18/00486/IDP 3,,2019-11-25,local-authority-eng:EPS,2019-11-25,,/developer-agreement-contribution/local-authority-eng/EPS/18-00486-IDP-3
2503.71,neighbourhood-community-infrastructure-levy,18/00486/FUL/CIL,18/00486/NEIGHBOURHOOD 1,,2019-11-25,local-authority-eng:EPS,2019-11-25,,/developer-agreement-contribution/local-authority-eng/EPS/18-00486-NEIGHBOURHOOD-1
2503.71,neighbourhood-community-infrastructure-levy,18/00486/FUL/CIL,18/00486/NEIGHBOURHOOD 2,,2019-11-25,local-authority-eng:EPS,2019-11-25,,/developer-agreement-contribution/local-authority-eng/EPS/18-00486-NEIGHBOURHOOD-2
2503.71,neighbourhood-community-infrastructure-levy,18/00486/FUL/CIL,18/00486/NEIGHBOURHOOD 3,,2019-11-25,local-authority-eng:EPS,2019-11-25,,/developer-agreement-contribution/local-authority-eng/EPS/18-00486-NEIGHBOURHOOD-3
2455,cil-administration-costs,18/00743/FUL/CIL,18/00743/CILADMIN 1,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-CILADMIN-1
2455,cil-administration-costs,18/00743/FUL/CIL,18/00743/CILADMIN 2,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-CILADMIN-2
2455,cil-administration-costs,18/00743/FUL/CIL,18/00743/CILADMIN 3,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-CILADMIN-3
144934,Initial off -site- affordable- housing -contribution,18/00743/FUL/S106,18/00743/FUL/S106 1,,2019-09-25,local-authority-eng:EPS,2019-07-16,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-FUL-S106-1
10000,Woodland contribution,18/00743/FUL/S106,18/00743/FUL/S106 2,,2019-09-25,local-authority-eng:EPS,2019-07-16,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-FUL-S106-2
39280.14,community-infrastructure-levy,18/00743/FUL/CIL,18/00743/IDP 1,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-IDP-1
39280.14,community-infrastructure-levy,18/00743/FUL/CIL,18/00743/IDP 2,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-IDP-2
39280.13,community-infrastructure-levy,18/00743/FUL/CIL,18/00743/IDP 3,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-IDP-3
7365.03,neighbourhood-community-infrastructure-levy,18/00743/FUL/CIL,18/00743/NEIGHBOURHOOD 1,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-NEIGHBOURHOOD-1
7365.03,neighbourhood-community-infrastructure-levy,18/00743/FUL/CIL,18/00743/NEIGHBOURHOOD 2,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-NEIGHBOURHOOD-2
7365.03,neighbourhood-community-infrastructure-levy,18/00743/FUL/CIL,18/00743/NEIGHBOURHOOD 3,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-00743-NEIGHBOURHOOD-3
0,Deed of variation to principle agreement,18/01018/REM/S106,18/01018/S106 1,,2019-10-30,local-authority-eng:EPS,2019-10-04,,/developer-agreement-contribution/local-authority-eng/EPS/18-01018-S106-1
1369.76,cil-administration-costs,18/01264/FUL/CIL,18/01264/CILADMIN 1,,2020-02-19,local-authority-eng:EPS,2020-01-28,,/developer-agreement-contribution/local-authority-eng/EPS/18-01264-CILADMIN-1
1369.77,cil-administration-costs,18/01264/FUL/CIL,18/01264/CILADMIN 2,,2020-02-19,local-authority-eng:EPS,2020-01-28,,/developer-agreement-contribution/local-authority-eng/EPS/18-01264-CILADMIN-2
1369.77,cil-administration-costs,18/01264/FUL/CIL,18/01264/CILADMIN 3,,2020-02-19,local-authority-eng:EPS,2020-01-28,,/developer-agreement-contribution/local-authority-eng/EPS/18-01264-CILADMIN-3
21916.32,community-infrastructure-levy,18/01264/FUL/CIL,18/01264/IDP 1,,2020-02-19,local-authority-eng:EPS,2020-01-28,,/developer-agreement-contribution/local-authority-eng/EPS/18-01264-IDP-1
21916.32,community-infrastructure-levy,18/01264/FUL/CIL,18/01264/IDP 2,,2020-02-19,local-authority-eng:EPS,2020-01-28,,/developer-agreement-contribution/local-authority-eng/EPS/18-01264-IDP-2
21916.32,community-infrastructure-levy,18/01264/FUL/CIL,18/01264/IDP 3,,2020-02-19,local-authority-eng:EPS,2020-01-28,,/developer-agreement-contribution/local-authority-eng/EPS/18-01264-IDP-3
4109.31,neighbourhood-community-infrastructure-levy,18/01264/FUL/CIL,18/01264/NEIGHBOURHOOD 1,,2020-02-19,local-authority-eng:EPS,2020-01-28,,/developer-agreement-contribution/local-authority-eng/EPS/18-01264-NEIGHBOURHOOD-1
4109.31,neighbourhood-community-infrastructure-levy,18/01264/FUL/CIL,18/01264/NEIGHBOURHOOD 2,,2020-02-19,local-authority-eng:EPS,2020-01-28,,/developer-agreement-contribution/local-authority-eng/EPS/18-01264-NEIGHBOURHOOD-2
4109.31,neighbourhood-community-infrastructure-levy,18/01264/FUL/CIL,18/01264/NEIGHBOURHOOD 3,,2020-02-19,local-authority-eng:EPS,2020-01-28,,/developer-agreement-contribution/local-authority-eng/EPS/18-01264-NEIGHBOURHOOD-3
543.27,cil-administration-costs,18/01298/FUL/CIL,18/01298/CILADMIN 1,,2020-03-12,local-authority-eng:EPS,2020-02-26,,/developer-agreement-contribution/local-authority-eng/EPS/18-01298-CILADMIN-1
543.27,cil-administration-costs,18/01298/FUL/CIL,18/01298/CILADMIN 2,,2020-03-12,local-authority-eng:EPS,2020-02-26,,/developer-agreement-contribution/local-authority-eng/EPS/18-01298-CILADMIN-2
8692.29,community-infrastructure-levy,18/01298/FUL/CIL,18/01298/IDP 1,,2020-03-12,local-authority-eng:EPS,2020-02-26,,/developer-agreement-contribution/local-authority-eng/EPS/18-01298-IDP-1
8692.29,community-infrastructure-levy,18/01298/FUL/CIL,18/01298/IDP 2,,2020-03-12,local-authority-eng:EPS,2020-02-26,,/developer-agreement-contribution/local-authority-eng/EPS/18-01298-IDP-2
1629.81,neighbourhood-community-infrastructure-levy,18/01298/FUL/CIL,18/01298/NEIGHBOURHOOD 1,,2020-03-12,local-authority-eng:EPS,2020-02-26,,/developer-agreement-contribution/local-authority-eng/EPS/18-01298-NEIGHBOURHOOD-1
1629.8,neighbourhood-community-infrastructure-levy,18/01298/FUL/CIL,18/01298/NEIGHBOURHOOD 2,,2020-03-12,local-authority-eng:EPS,2020-02-26,,/developer-agreement-contribution/local-authority-eng/EPS/18-01298-NEIGHBOURHOOD-2
30000,Traffic signal contribution,18/01360/FUL /S106,18/01360 /S106 2,,2020-05-14,local-authority-eng:EPS,2020-01-10,,/developer-agreement-contribution/local-authority-eng/EPS/18-01360--S106-2
6150,Travel plan auditing contribution,18/01360/FUL /S106,18/01360 /S106 3,,2020-05-14,local-authority-eng:EPS,2020-01-10,,/developer-agreement-contribution/local-authority-eng/EPS/18-01360--S106-3
40000,Off-site play space improvement contribution,18/01360/FUL /S106,18/01360 /S106 4,,2020-05-14,local-authority-eng:EPS,2020-01-10,,/developer-agreement-contribution/local-authority-eng/EPS/18-01360--S106-4
4500,Parking spaces contribution,18/01360/FUL /S106,18/01360 /S106 5,,2020-05-14,local-authority-eng:EPS,2020-01-10,,/developer-agreement-contribution/local-authority-eng/EPS/18-01360--S106-5
2000,Monitoring fee,18/01360/FUL /S106,18/01360/S106 1,,2020-05-14,local-authority-eng:EPS,2020-01-10,,/developer-agreement-contribution/local-authority-eng/EPS/18-01360-S106-1
12000,Pump priming (financially assisting the car club operator for 2 years),18/01360/FUL /S106,18/01360/S106 6,,2020-05-14,local-authority-eng:EPS,2020-01-10,,/developer-agreement-contribution/local-authority-eng/EPS/18-01360-S106-6
,To provide £50 of free travel to one user of each dwelling using the car club,18/01360/FUL /S106,18/01360/S106 7,,2020-05-14,local-authority-eng:EPS,2020-01-10,,/developer-agreement-contribution/local-authority-eng/EPS/18-01360-S106-7
1228.97,cil-administration-costs,18/01383/FUL/CIL,18/01383/CILADMIN 1,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-01383-CILADMIN-1
19663.43,community-infrastructure-levy,18/01383/FUL/CIL,18/01383/IDP 1,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-01383-IDP-1
3686.89,neighbourhood-community-infrastructure-levy,18/01383/FUL/CIL,18/01383/NEIGHBOURHOOD 1,,2019-09-25,local-authority-eng:EPS,2019-09-12,,/developer-agreement-contribution/local-authority-eng/EPS/18-01383-NEIGHBOURHOOD-1
19931.57,cil-administration-costs,18/01559/REM/CIL,18/01559/CILADMIN 1,,2020-03-12,local-authority-eng:EPS,2020-03-11,,/developer-agreement-contribution/local-authority-eng/EPS/18-01559-CILADMIN-1
19931.57,cil-administration-costs,18/01559/REM/CIL,18/01559/CILADMIN 2,,2020-03-12,local-authority-eng:EPS,2020-03-11,,/developer-agreement-contribution/local-authority-eng/EPS/18-01559-CILADMIN-2
19931.57,cil-administration-costs,18/01559/REM/CIL,18/01559/CILADMIN 3,,2020-03-12,local-authority-eng:EPS,2020-03-11,,/developer-agreement-contribution/local-authority-eng/EPS/18-01559-CILADMIN-3
318905.08,community-infrastructure-levy,18/01559/REM/CIL,18/01559/IDP 1,,2020-03-12,local-authority-eng:EPS,2020-03-11,,/developer-agreement-contribution/local-authority-eng/EPS/18-01559-IDP-1
318905.08,community-infrastructure-levy,18/01559/REM/CIL,18/01559/IDP 2,,2020-03-12,local-authority-eng:EPS,2020-03-11,,/developer-agreement-contribution/local-authority-eng/EPS/18-01559-IDP-2
318905.07,community-infrastructure-levy,18/01559/REM/CIL,18/01559/IDP 3,,2020-03-12,local-authority-eng:EPS,2020-03-11,,/developer-agreement-contribution/local-authority-eng/EPS/18-01559-IDP-3
59794.7,neighbourhood-community-infrastructure-levy,18/01559/REM/CIL,18/01559/NEIGHBOURHOOD 1,,2020-03-12,local-authority-eng:EPS,2020-03-11,,/developer-agreement-contribution/local-authority-eng/EPS/18-01559-NEIGHBOURHOOD-1
,Deed of variation,18/01559/REM/S106,18/01559/S106 1,,2020-05-14,local-authority-eng:EPS,2019-12-17,,/developer-agreement-contribution/local-authority-eng/EPS/18-01559-S106-1
0,cil-administration-costs,19/00062/FUL/CIL,19/00062/CILADMIN 1,,2020-03-12,local-authority-eng:EPS,2020-02-25,,/developer-agreement-contribution/local-authority-eng/EPS/19-00062-CILADMIN-1
0,community-infrastructure-levy,19/00062/FUL/CIL,19/00062/IDP 1,,2020-03-12,local-authority-eng:EPS,2020-02-25,,/developer-agreement-contribution/local-authority-eng/EPS/19-00062-IDP-1
0,neighbourhood-community-infrastructure-levy,19/00062/FUL/CIL,19/00062/NEIGHBOURHOOD 1,,2020-03-12,local-authority-eng:EPS,2020-02-25,,/developer-agreement-contribution/local-authority-eng/EPS/19-00062-NEIGHBOURHOOD-1
0,cil-administration-costs,19/00079/FUL/CIL,19/00079/CILADMIN 1,,2019-11-13,local-authority-eng:EPS,2019-11-13,,/developer-agreement-contribution/local-authority-eng/EPS/19-00079-CILADMIN-1
0,community-infrastructure-levy,19/00079/FUL/CIL,19/00079/IDP 1,,2019-11-13,local-authority-eng:EPS,2019-11-13,,/developer-agreement-contribution/local-authority-eng/EPS/19-00079-IDP-1
0,neighbourhood-community-infrastructure-levy,19/00079/FUL/CIL,19/00079/NEIGHBOURHOOD 1,,2019-11-13,local-authority-eng:EPS,2019-11-13,,/developer-agreement-contribution/local-authority-eng/EPS/19-00079-NEIGHBOURHOOD-1
0,cil-administration-costs,19/00303/FLH/CIL,19/00303/CILADMIN 1,,2019-09-25,local-authority-eng:EPS,2019-09-18,,/developer-agreement-contribution/local-authority-eng/EPS/19-00303-CILADMIN-1
0,community-infrastructure-levy,19/00303/FLH/CIL,19/00303/IDP 1,,2019-09-25,local-authority-eng:EPS,2019-09-18,,/developer-agreement-contribution/local-authority-eng/EPS/19-00303-IDP-1
0,neighbourhood-community-infrastructure-levy,19/00303/FLH/CIL,19/00303/NEIGHBOURHOOD 1,,2019-09-25,local-authority-eng:EPS,2019-09-18,,/developer-agreement-contribution/local-authority-eng/EPS/19-00303-NEIGHBOURHOOD-1
373.22,cil-administration-costs,19/00538/RES/CIL,19/00538/CILADMIN 1,,2019-10-30,local-authority-eng:EPS,2019-10-30,,/developer-agreement-contribution/local-authority-eng/EPS/19-00538-CILADMIN-1
373.22,cil-administration-costs,19/00538/RES/CIL,19/00538/CILADMIN 2,,2019-10-30,local-authority-eng:EPS,2019-10-30,,/developer-agreement-contribution/local-authority-eng/EPS/19-00538-CILADMIN-2
5971.51,community-infrastructure-levy,19/00538/RES/CIL,19/00538/IDP 1,,2019-10-30,local-authority-eng:EPS,2019-10-30,,/developer-agreement-contribution/local-authority-eng/EPS/19-00538-IDP-1
5971.51,community-infrastructure-levy,19/00538/RES/CIL,19/00538/IDP 2,,2019-10-30,local-authority-eng:EPS,2019-10-30,,/developer-agreement-contribution/local-authority-eng/EPS/19-00538-IDP-2
1119.66,neighbourhood-community-infrastructure-levy,19/00538/RES/CIL,19/00538/NEIGHBOURHOOD 1,,2019-10-30,local-authority-eng:EPS,2019-10-30,,/developer-agreement-contribution/local-authority-eng/EPS/19-00538-NEIGHBOURHOOD-1
1119.66,neighbourhood-community-infrastructure-levy,19/00538/RES/CIL,19/00538/NEIGHBOURHOOD 2,,2019-10-30,local-authority-eng:EPS,2019-10-30,,/developer-agreement-contribution/local-authority-eng/EPS/19-00538-NEIGHBOURHOOD-2
821.78,cil-administration-costs,19/00577/ FUL/CIL,19/00577/CILADMIN 1,,2020-02-19,local-authority-eng:EPS,2020-02-06,,/developer-agreement-contribution/local-authority-eng/EPS/19-00577-CILADMIN-1
821.77,cil-administration-costs,19/00577/ FUL/CIL,19/00577/CILADMIN 2,,2020-02-19,local-authority-eng:EPS,2020-02-06,,/developer-agreement-contribution/local-authority-eng/EPS/19-00577-CILADMIN-2
13148.41,community-infrastructure-levy,19/00577/ FUL/CIL,19/00577/IDP 1,,2020-02-19,local-authority-eng:EPS,2020-02-06,,/developer-agreement-contribution/local-authority-eng/EPS/19-00577-IDP-1
13148.41,community-infrastructure-levy,19/00577/ FUL/CIL,19/00577/IDP 2,,2020-02-19,local-authority-eng:EPS,2020-02-06,,/developer-agreement-contribution/local-authority-eng/EPS/19-00577-IDP-2
2465.33,neighbourhood-community-infrastructure-levy,19/00577/ FUL/CIL,19/00577/NEIGHBOURHOOD 1,,2020-02-19,local-authority-eng:EPS,2020-02-06,,/developer-agreement-contribution/local-authority-eng/EPS/19-00577-NEIGHBOURHOOD-1
2465.33,neighbourhood-community-infrastructure-levy,19/00577/ FUL/CIL,19/00577/NEIGHBOURHOOD 2,,2020-02-19,local-authority-eng:EPS,2020-02-06,,/developer-agreement-contribution/local-authority-eng/EPS/19-00577-NEIGHBOURHOOD-2
686.93,cil-administration-costs,19/00622/FUL/CIL,19/00622/CILADMIN 1,,2019-10-23,local-authority-eng:EPS,2019-10-16,,/developer-agreement-contribution/local-authority-eng/EPS/19-00622-CILADMIN-1
686.93,cil-administration-costs,19/00622/FUL/CIL,19/00622/CILADMIN 2,,2019-10-23,local-authority-eng:EPS,2019-10-16,,/developer-agreement-contribution/local-authority-eng/EPS/19-00622-CILADMIN-2
10990.8,community-infrastructure-levy,19/00622/FUL/CIL,19/00622/IDP 1,,2019-10-23,local-authority-eng:EPS,2019-10-16,,/developer-agreement-contribution/local-authority-eng/EPS/19-00622-IDP-1
10990.8,community-infrastructure-levy,19/00622/FUL/CIL,19/00622/IDP 2,,2019-10-23,local-authority-eng:EPS,2019-10-16,,/developer-agreement-contribution/local-authority-eng/EPS/19-00622-IDP-2
2060.77,neighbourhood-community-infrastructure-levy,19/00622/FUL/CIL,19/00622/NEIGHBOURHOOD 1,,2019-10-23,local-authority-eng:EPS,2019-10-16,,/developer-agreement-contribution/local-authority-eng/EPS/19-00622-NEIGHBOURHOOD-1
2060.77,neighbourhood-community-infrastructure-levy,19/00622/FUL/CIL,19/00622/NEIGHBOURHOOD 2,,2019-10-23,local-authority-eng:EPS,2019-10-16,,/developer-agreement-contribution/local-authority-eng/EPS/19-00622-NEIGHBOURHOOD-2
954.89,cil-administration-costs,19/00681/FUL/CIL,19/00681/CILADMIN 1,,2019-10-14,local-authority-eng:EPS,2019-10-14,,/developer-agreement-contribution/local-authority-eng/EPS/19-00681-CILADMIN-1
954.89,cil-administration-costs,19/00681/FUL/CIL,19/00681/CILADMIN 2,,2019-10-14,local-authority-eng:EPS,2019-10-14,,/developer-agreement-contribution/local-authority-eng/EPS/19-00681-CILADMIN-2
954.89,cil-administration-costs,19/00681/FUL/CIL,19/00681/CILADMIN 3,,2019-10-14,local-authority-eng:EPS,2019-10-14,,/developer-agreement-contribution/local-authority-eng/EPS/19-00681-CILADMIN-3
15278.25,community-infrastructure-levy,19/00681/FUL/CIL,19/00681/IDP 1,,2019-10-14,local-authority-eng:EPS,2019-10-14,,/developer-agreement-contribution/local-authority-eng/EPS/19-00681-IDP-1
15278.24,community-infrastructure-levy,19/00681/FUL/CIL,19/00681/IDP 2,,2019-10-14,local-authority-eng:EPS,2019-10-14,,/developer-agreement-contribution/local-authority-eng/EPS/19-00681-IDP-2
15278.24,community-infrastructure-levy,19/00681/FUL/CIL,19/00681/IDP 3,,2019-10-14,local-authority-eng:EPS,2019-10-14,,/developer-agreement-contribution/local-authority-eng/EPS/19-00681-IDP-3
2864.67,neighbourhood-community-infrastructure-levy,19/00681/FUL/CIL,19/00681/NEIGHBOURHOOD 1,,2019-10-14,local-authority-eng:EPS,2019-10-14,,/developer-agreement-contribution/local-authority-eng/EPS/19-00681-NEIGHBOURHOOD-1
2864.67,neighbourhood-community-infrastructure-levy,19/00681/FUL/CIL,19/00681/NEIGHBOURHOOD 2,,2019-10-14,local-authority-eng:EPS,2019-10-14,,/developer-agreement-contribution/local-authority-eng/EPS/19-00681-NEIGHBOURHOOD-2
2864.67,neighbourhood-community-infrastructure-levy,19/00681/FUL/CIL,19/00681/NEIGHBOURHOOD 3,,2019-10-14,local-authority-eng:EPS,2019-10-14,,/developer-agreement-contribution/local-authority-eng/EPS/19-00681-NEIGHBOURHOOD-3
0,cil-administration-costs,19/00768/FUL/CIL,19/00768/CILADMIN 1,,2019-11-05,local-authority-eng:EPS,2019-11-05,,/developer-agreement-contribution/local-authority-eng/EPS/19-00768-CILADMIN-1
0,community-infrastructure-levy,19/00768/FUL/CIL,19/00768/IDP 1,,2019-11-05,local-authority-eng:EPS,2019-11-05,,/developer-agreement-contribution/local-authority-eng/EPS/19-00768-IDP-1
0,neighbourhood-community-infrastructure-levy,19/00768/FUL/CIL,19/00768/NEIGHBOURHOOD 1,,2019-11-05,local-authority-eng:EPS,2019-11-05,,/developer-agreement-contribution/local-authority-eng/EPS/19-00768-NEIGHBOURHOOD-1
0,cil-administration-costs,19/01079/FUL/CIL,19/01079/CILADMIN 1,,2020-03-12,local-authority-eng:EPS,2020-02-03,,/developer-agreement-contribution/local-authority-eng/EPS/19-01079-CILADMIN-1
0,community-infrastructure-levy,19/01079/FUL/CIL,19/01079/IDP 1,,2020-03-12,local-authority-eng:EPS,2020-02-03,,/developer-agreement-contribution/local-authority-eng/EPS/19-01079-IDP-1
0,neighbourhood-community-infrastructure-levy,19/01079/FUL/CIL,19/01079/NEIGHBOURHOOD 1,,2020-03-12,local-authority-eng:EPS,2020-02-03,,/developer-agreement-contribution/local-authority-eng/EPS/19-01079-NEIGHBOURHOOD-1
0,cil-administration-costs,19/01382/REM/CIL,19/01382/CILADMIN 1,,2020-03-12,local-authority-eng:EPS,2020-02-25,,/developer-agreement-contribution/local-authority-eng/EPS/19-01382-CILADMIN-1
0,community-infrastructure-levy,19/01382/REM/CIL,19/01382/IDP 1,,2020-03-12,local-authority-eng:EPS,2020-02-25,,/developer-agreement-contribution/local-authority-eng/EPS/19-01382-IDP-1
0,neighbourhood-community-infrastructure-levy,19/01382/REM/CIL,19/01382/NEIGHBOURHOOD 1,,2020-03-12,local-authority-eng:EPS,2020-02-25,,/developer-agreement-contribution/local-authority-eng/EPS/19-01382-NEIGHBOURHOOD-1
0,cil-administration-costs,19/01592/REM/CIL,19/01592/CILADMIN 1,,2020-03-12,local-authority-eng:EPS,2020-02-27,,/developer-agreement-contribution/local-authority-eng/EPS/19-01592-CILADMIN-1
0,community-infrastructure-levy,19/01592/REM/CIL,19/01592/IDP 1,,2020-03-12,local-authority-eng:EPS,2020-02-27,,/developer-agreement-contribution/local-authority-eng/EPS/19-01592-IDP-1
0,neighbourhood-community-infrastructure-levy,19/01592/REM/CIL,19/01592/NEIGHBOURHOOD 1,,2020-03-12,local-authority-eng:EPS,2020-02-27,,/developer-agreement-contribution/local-authority-eng/EPS/19-01592-NEIGHBOURHOOD-1
30,affordable-housing,0115/0018/DA,0115/0018/C/affordable,,2020-11-04,local-authority-eng:ERE,2016-03-21,,/developer-agreement-contribution/local-authority-eng/ERE/0115-0018-C-affordable
45596,education,0115/0018/DA,0115/0018/C/education,,2020-11-04,local-authority-eng:ERE,2016-03-21,,/developer-agreement-contribution/local-authority-eng/ERE/0115-0018-C-education
5770,open-space-and-leisure,0115/0018/DA,0115/0018/C/open,,2020-11-04,local-authority-eng:ERE,2016-03-21,,/developer-agreement-contribution/local-authority-eng/ERE/0115-0018-C-open
10,affordable-housing,0117/0021/DA,0117/0021/C/housing,,2020-11-04,local-authority-eng:ERE,2017-10-23,,/developer-agreement-contribution/local-authority-eng/ERE/0117-0021-C-housing
4200,open-space-and-leisure,0117/0021/DA,0117/0021/C/open,,2020-11-04,local-authority-eng:ERE,2017-10-23,,/developer-agreement-contribution/local-authority-eng/ERE/0117-0021-C-open
19600,transport-and-travel,0117/0021/DA,0117/0021/C/travel,,2020-11-04,local-authority-eng:ERE,2017-10-23,,/developer-agreement-contribution/local-authority-eng/ERE/0117-0021-C-travel
45496,education,0216/0012/DA,0216/0012/C/education,,2020-11-04,local-authority-eng:ERE,2014-03-26,,/developer-agreement-contribution/local-authority-eng/ERE/0216-0012-C-education
3,affordable-housing,0216/0012/DA,0216/0012/C/housing,,2020-11-04,local-authority-eng:ERE,2014-03-26,,/developer-agreement-contribution/local-authority-eng/ERE/0216-0012-C-housing
2,affordable-housing,0216/0012/DA,0216/0012/C/housing2,,2020-11-04,local-authority-eng:ERE,2014-03-26,,/developer-agreement-contribution/local-authority-eng/ERE/0216-0012-C-housing2
9651,open-space-and-leisure,0216/0012/DA,0216/0012/C/open,,2020-11-04,local-authority-eng:ERE,2014-03-26,,/developer-agreement-contribution/local-authority-eng/ERE/0216-0012-C-open
,economic-development,0315/0034/DA,0315/0034/C/eco,,2020-11-04,local-authority-eng:ERE,2015-10-27,,/developer-agreement-contribution/local-authority-eng/ERE/0315-0034-C-eco
,affordable-housing,0315/0034/DA,0315/0034/C/housing,,2020-11-04,local-authority-eng:ERE,2015-10-27,,/developer-agreement-contribution/local-authority-eng/ERE/0315-0034-C-housing
,open-space-and-leisure,0315/0034/DA,0315/0034/C/open,,2020-11-04,local-authority-eng:ERE,2015-10-27,,/developer-agreement-contribution/local-authority-eng/ERE/0315-0034-C-open
,transport-and-travel,0315/0034/DA,0315/0034/C/travel,,2020-11-04,local-authority-eng:ERE,2015-10-27,,/developer-agreement-contribution/local-authority-eng/ERE/0315-0034-C-travel
100000,affordable-housing,0402/0083/DA,0402/0083/C/housing,,2020-11-04,local-authority-eng:ERE,2015-12-23,,/developer-agreement-contribution/local-authority-eng/ERE/0402-0083-C-housing
24000,economic-development,0417/0027/DA,0417/0027/C/eco,,2020-11-04,local-authority-eng:ERE,2018-05-25,,/developer-agreement-contribution/local-authority-eng/ERE/0417-0027-C-eco
